,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),draft_status,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,nba team,ROUND NUMBER,ROUND PICK,OVERALL PICK
10,Jeff Teague,Wake Forest,ACC,31,79.9,113.1,26.2,54.6,61.47,1.7,8.6,20.2,21.0,179,219,0.817,135,269,0.502,45,102,0.441,2.0,3.1,59.0,So,6-02,4.56874,125.453,2.7,2009,all,90.0,1.05770834,,,,,,,,,,Drafted,95.1768,90.6154,3.95475,203.186,6.6175,4.81044,1.80706,8.47287,31.9677,5.78494,2.68792,0.4839,2.8065,3.2903,3.5484,1.871,0.6452,18.8387,Atlanta Hawks,1,19,19
11,James Johnson,Wake Forest,ACC,31,76.3,113.5,22.2,57.4,59.31,9.6,19.2,12.3,18.5,69,99,0.697,165,276,0.598,22,69,0.319,5.0,2.5,28.7,So,6-08,3.77828,119.948,3.8,2009,all,82.0,0.83783671,,,,,,,,,,Drafted,89.965,85.6534,4.3006,236.275,9.52538,4.79792,4.72746,8.39846,30.5161,5.0609,3.33757,2.5484,5.9677,8.5161,2.0,1.4194,1.5484,15.0,Chicago Bulls,1,16,16
12,Stephen Curry,Davidson,SC,33,82.1,118.0,37.5,54.9,60.46,1.8,12.3,39.8,16.6,212,241,0.88,176,340,0.518,127,327,0.388,0.7,3.9,36.1,Jr,6-03,6.66086,141.028,2.8,2009,all,49.0,1.43198081,,,,,,,,,,Drafted,89.1128,88.3785,4.44618,253.62,12.3076,9.67838,2.62918,15.279,33.8182,10.7909,4.48812,0.5758,3.9091,4.4848,5.4242,2.3333,0.2121,28.6364,Golden State Warriors,1,7,7
13,Gerald Henderson,Duke,ACC,37,74.1,110.6,27.2,49.4,54.24,4.7,14.4,18.0,15.4,143,188,0.761,172,351,0.49,41,122,0.336,2.4,2.4,39.7,Jr,6-05,4.38494,126.916,2.3,2009,all,97.2,1.13749889,,,,,,,,,,Drafted,94.2551,88.4646,3.88664,216.74,6.55578,4.30157,2.25421,8.56934,29.7297,6.30326,2.26608,1.2432,3.7027,4.9459,2.4595,1.2432,0.7568,16.4865,Charlotte Bobcats,1,12,12
14,Jonny Flynn,Syracuse,BE,37,90.7,111.9,24.9,50.6,56.57,1.9,5.9,32.6,20.5,175,223,0.785,168,325,0.517,45,140,0.321,0.4,2.0,48.0,So,6-01,5.36686,126.92,1.5,2009,all,96.6,1.95277362,,,,,,,,,,Drafted,103.602,97.009,3.68145,214.199,4.75927,5.21382,-0.454556,5.64943,37.4865,5.10228,0.547152,0.5946,2.2162,2.8108,6.7027,1.3514,0.1622,17.4595,Minnesota Timberwolves,1,6,6
15,Terrence Williams,Louisville,BE,37,85.3,108.1,21.3,50.4,51.72,4.5,22.7,27.0,18.4,68,117,0.581,112,244,0.459,57,148,0.385,2.3,4.0,29.8,Sr,6-06,3.66838,115.268,2.0,2009,all,85.0,2.15118526,,,,,,,,,,Drafted,82.7598,77.2472,5.80053,323.675,10.9981,4.41739,6.58071,11.3982,34.2162,5.35649,6.04175,1.3784,7.1892,8.5676,5.0,2.3243,0.7838,12.5135,New Jersey Nets,1,11,11
16,Jon Brockman,Washington,P10,33,73.8,114.3,23.0,52.9,55.72,15.3,25.7,7.7,14.8,122,193,0.632,184,347,0.53,0,1,0.0,0.3,1.6,55.5,Sr,6-07,4.1925,124.026,4.0,2009,all,94.4,0.61903513,,,,,,,,,,Drafted,92.3011,85.6734,4.28044,232.291,6.56566,4.35632,2.20933,6.49657,30.8485,5.05423,1.44234,4.2424,7.303,11.5455,1.1818,0.9091,0.0909,14.8485,Portland Trail Blazers,2,8,38
17,Ty Lawson,North Carolina,ACC,34,69.3,133.7,22.7,59.8,65.29,2.3,7.6,35.7,14.9,164,205,0.8,127,229,0.555,48,104,0.462,0.4,3.8,61.6,Jr,5-11,6.42305,145.653,2.2,2009,all,98.8,3.39388009,,,,,,,,,,Drafted,95.9576,90.0007,3.79468,213.1,12.5649,10.8452,1.71975,13.9619,30.2647,9.54698,4.4149,0.6471,2.3235,2.9706,6.5882,2.1471,0.1471,16.5294,Minnesota Timberwolves,1,18,18
18,Wayne Ellington,North Carolina,ACC,37,76.4,123.7,20.4,57.5,60.1,5.4,10.9,14.8,13.9,87,112,0.777,126,236,0.534,83,200,0.415,0.5,1.5,25.7,Jr,6-04,4.94137,130.887,1.9,2009,all,98.4,1.63939096,,,,,,,,,,Drafted,99.2781,93.3517,3.48877,202.594,8.95892,7.84373,1.11519,8.77198,30.6486,7.46548,1.3065,1.5405,3.3784,4.9189,2.7027,0.8919,0.1622,15.8919,Minnesota Timberwolves,1,28,28
19,DeMarre Carroll,Missouri,B12,38,70.0,118.8,25.1,57.6,59.15,9.3,18.6,15.2,11.5,121,191,0.634,230,397,0.579,16,44,0.364,2.4,3.1,43.3,Sr,6-08,4.732,132.97,3.2,2009,all,72.8,1.46427362,,,,,,,,,,Drafted,89.7454,85.9031,3.92175,248.047,10.1056,6.31798,3.78759,10.0423,28.0,7.33047,2.71187,2.4211,4.7632,7.1842,2.1579,1.5526,0.6579,16.5526,Memphis Grizzlies,1,27,27
20,Sam Young,Pittsburgh,BE,34,77.4,113.3,26.3,55.2,58.12,6.9,15.4,6.6,16.8,112,152,0.737,194,352,0.551,50,135,0.37,2.7,1.9,31.2,Sr,6-06,4.9538,129.086,2.2,2009,all,,0.43208528,,,,,,,,,,Drafted,96.3118,90.6034,3.94188,203.577,6.61607,4.7308,1.88527,8.14654,31.8529,6.54282,1.60371,1.8824,4.3529,6.2353,1.0294,1.0,0.7941,19.1176,Memphis Grizzlies,2,6,36
21,Hasheem Thabeet,Connecticut,BE,35,75.1,118.7,19.4,64.4,64.84,13.4,21.7,3.0,17.5,131,209,0.627,172,267,0.644,0,0,0.0,11.9,1.2,78.3,Jr,7-03,4.14637,122.991,3.1,2009,all,87.4,0.26153681,,,,,,,,,,Drafted,83.8351,78.8458,5.07759,287.554,11.5125,3.53021,7.98233,11.2046,31.6286,5.13615,6.06841,3.6857,7.0286,10.7143,0.4857,0.6286,4.2,13.5714,Memphis Grizzlies,1,2,2
22,Austin Daye,Gonzaga,WCC,33,65.4,102.6,24.4,53.6,56.16,4.7,22.1,8.1,18.9,72,104,0.692,118,241,0.49,36,80,0.45,8.1,1.6,32.4,So,6-11,2.4275,111.003,4.3,2009,all,93.4,0.53622842,,,,,,,,,,Drafted,85.3883,82.9323,3.93453,217.197,5.75346,0.387002,5.36646,5.2688,26.3636,1.79443,3.47437,1.0,5.6667,6.6667,1.1212,0.7273,2.0,12.6061,Detroit Pistons,1,15,15
23,Robert Dozier,Memphis,CUSA,37,75.3,114.4,21.0,55.2,59.37,10.7,16.5,9.3,18.2,124,172,0.721,145,264,0.549,21,56,0.375,5.6,2.5,53.8,Sr,6-09,3.69312,119.609,3.6,2009,all,84.4,0.71619999,,,,,,,,,,Drafted,83.901,80.791,4.75211,245.353,10.3938,3.86323,6.53056,8.84328,30.2162,4.2403,4.60298,2.8649,4.5946,7.4595,1.4324,1.2703,1.6486,12.8919,Miami Heat,2,30,60
24,Blake Griffin,Oklahoma,B12,35,80.6,117.6,31.1,65.7,64.77,14.2,32.2,16.3,18.2,191,324,0.59,297,451,0.659,3,8,0.375,3.6,1.9,70.6,So,6-10,6.39363,139.82,3.1,2009,all,97.0,0.6896479,,,,,,,,,,Drafted,87.4256,82.5913,5.02664,316.56,11.3401,6.90629,4.43384,12.3844,33.2857,9.59816,2.78622,3.8571,10.5429,14.4,2.2857,1.1143,1.1714,22.6857,Los Angeles Clippers,1,1,1
25,Ahmad Nivins,Saint Joseph's,A10,32,96.5,119.7,22.9,61.2,66.99,12.5,22.6,6.1,18.3,203,258,0.787,205,334,0.614,0,1,0.0,4.6,1.3,77.0,Sr,6-09,5.71878,126.974,2.2,2009,all,73.8,0.36780932,,,,,,,,,,Drafted,95.127,93.3467,4.40826,261.974,5.55748,3.18525,2.37223,6.58919,39.3438,5.69052,0.898667,3.9375,7.875,11.8125,1.0,0.8125,1.75,19.1562,Dallas Mavericks,2,26,56
26,Nick Calathes,Florida,SEC,36,83.3,114.5,27.8,56.8,59.92,3.0,15.7,35.9,20.7,135,191,0.707,132,238,0.555,73,187,0.39,0.5,3.3,44.9,So,6-06,5.18443,129.089,2.3,2009,all,98.6,1.94116046,,,,,,,,,,Drafted,96.2249,93.8213,3.75288,246.623,8.88349,7.0439,1.8396,9.63742,33.3333,7.30155,2.33587,0.8611,4.4722,5.3333,6.4167,1.8889,0.1667,17.1667,Minnesota Timberwolves,2,15,45
27,Taylor Griffin,Oklahoma,B12,36,74.8,112.4,16.6,54.7,58.69,9.3,12.0,7.9,19.6,91,130,0.7,120,219,0.548,5,14,0.357,3.4,2.5,55.8,Sr,6-07,2.7988,111.221,3.7,2009,all,75.4,0.77418416,,,,,,,,,,Drafted,96.7464,91.2422,3.63682,215.421,7.9296,3.83034,4.09926,5.54732,30.0278,2.57115,2.97618,2.2778,3.5556,5.8333,1.3333,1.3056,1.0,9.6111,Phoenix Suns,2,18,48
28,Jodie Meeks,Kentucky,SEC,36,85.9,118.9,27.9,56.6,62.87,2.0,8.6,11.7,15.8,211,234,0.902,146,280,0.521,117,288,0.406,0.4,2.2,41.2,Jr,6-05,5.90613,133.801,2.2,2009,all,92.4,0.65624182,,,,,,,,,,Drafted,98.0648,93.586,3.89665,213.232,4.67523,5.8246,-1.14937,7.8038,34.3611,7.03987,0.763933,0.5278,2.8611,3.3889,1.75,1.3333,0.1389,23.7222,Milwaukee Bucks,2,11,41
29,Tyreke Evans,Memphis,CUSA,37,72.2,101.8,33.0,48.9,52.92,5.0,15.3,30.0,21.8,138,194,0.711,196,381,0.514,34,124,0.274,2.8,4.2,38.4,Fr,6-06,3.78458,122.038,3.3,2009,all,99.2,1.07519617,,,,,,,,,,Drafted,82.1427,79.0978,4.72624,250.295,10.0383,3.86939,6.16888,10.5783,28.973,5.31444,5.26382,1.2703,4.0811,5.3514,3.8649,2.0811,0.7838,17.0811,Sacramento Kings,1,4,4
30,Jeremy Evans,Western Kentucky,SB,34,65.3,129.2,17.3,65.6,66.82,13.5,17.8,5.9,14.0,64,93,0.688,134,199,0.673,3,12,0.25,7.2,1.9,44.1,Sr,6-09,3.49748,123.099,4.4,2010,all,,0.69446545,113.0,139.0,21.0,60.0,0.8129,0.35,61.0,64.0,0.9531,Drafted,95.1372,95.7192,2.78986,192.491,8.08383,3.91722,4.16661,6.18888,26.5,4.051,2.13788,2.9706,3.9412,6.9118,0.7353,0.8235,1.7941,10.0294,Utah Jazz,2,25,55
31,Greivis Vasquez,Maryland,ACC,32,84.8,111.7,30.7,49.7,55.02,3.9,10.3,35.3,18.2,138,161,0.857,151,320,0.472,67,186,0.36,1.0,2.9,31.8,Sr,6-06,5.77909,133.611,2.4,2010,all,91.6,1.87964446,63.0,109.0,88.0,211.0,0.578,0.4171,4.0,4.0,1.0,Drafted,97.2737,92.9583,3.94793,211.734,9.25869,7.75068,1.50801,9.97327,34.3125,8.04126,1.932,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312,Memphis Grizzlies,1,28,28
32,Cole Aldrich,Kansas,B12,36,66.4,116.9,20.2,56.2,59.61,13.6,25.4,5.8,16.4,108,159,0.679,149,265,0.562,0,0,0.0,13.0,1.6,60.0,Jr,6-11,3.51491,122.635,3.8,2010,all,94.8,0.55354846,92.0,126.0,57.0,139.0,0.7302,0.4101,32.0,33.0,0.9697,Drafted,84.64,78.9024,4.40012,253.179,11.5599,3.09864,8.4613,9.80489,26.75,4.63956,5.16533,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,New Orleans Hornets,1,11,11
33,Damion James,Texas,B12,34,74.8,115.6,25.5,54.4,57.83,11.0,23.9,6.1,14.1,155,230,0.674,174,325,0.535,36,94,0.383,3.6,3.0,54.9,Sr,6-07,4.72214,129.966,3.9,2010,all,96.8,0.47826942,110.0,151.0,64.0,174.0,0.7285,0.3678,29.0,30.0,0.9667,Drafted,87.0914,82.4905,4.57189,274.792,8.40478,5.14642,3.25836,9.92271,30.2647,7.03914,2.88357,3.1471,7.1471,10.2941,0.9706,1.6765,1.1765,17.9706,Atlanta Hawks,1,24,24
34,Dexter Pittman,Texas,B12,34,47.1,113.1,24.4,65.4,63.82,16.6,15.3,5.1,20.4,75,135,0.556,140,214,0.654,0,0,0.0,8.9,1.0,63.1,Sr,6-10,2.67827,125.449,5.6,2010,all,76.6,0.28333427,105.0,143.0,35.0,71.0,0.7343,0.493,40.0,42.0,0.9524,Drafted,92.6265,87.7332,2.53615,142.338,8.09001,3.96504,4.12497,6.99774,19.0588,4.17635,2.8214,2.9706,2.8824,5.8529,0.5,0.3529,1.8529,10.4412,Miami Heat,2,2,32
35,Stanley Robinson,Connecticut,BE,34,85.6,107.8,20.4,55.9,57.03,8.9,14.6,6.6,18.8,61,97,0.629,176,308,0.571,27,79,0.342,3.2,1.5,25.1,Sr,6-09,3.5357,114.267,1.8,2010,all,96.6,0.4415596,114.0,144.0,59.0,156.0,0.7917,0.3782,66.0,72.0,0.9167,Drafted,97.9225,91.5023,4.15816,216.486,4.35656,2.40491,1.95164,5.11332,34.2353,3.68964,1.42368,2.6765,4.9706,7.6471,1.0,0.8824,1.2059,14.5294,Orlando Magic,2,29,59
36,Lazar Hayward,Marquette,BE,34,79.5,108.1,29.6,49.5,53.63,8.2,21.3,11.2,12.9,107,127,0.843,157,328,0.479,65,186,0.349,1.7,3.6,24.7,Sr,6-06,4.54967,125.739,4.2,2010,all,85.2,0.77610879,92.0,138.0,65.0,190.0,0.6667,0.3421,10.0,10.0,1.0,Drafted,92.9318,87.7798,4.27275,240.072,6.82767,4.14841,2.67926,6.648,32.2647,4.82618,1.82182,2.1176,5.4118,7.5294,1.5294,1.8824,0.5294,18.1176,Washington Wizards,1,30,30
37,Jordan Crawford,Xavier,A10,35,79.4,113.0,28.9,53.2,56.43,3.4,12.0,20.1,14.7,119,154,0.773,181,361,0.501,79,202,0.391,0.6,2.4,27.4,So,6-04,5.2373,132.041,2.0,2010,all,52.8,1.18821539,111.0,178.0,70.0,183.0,0.6236,0.3825,17.0,18.0,0.9444,Drafted,97.334,93.4411,3.6428,213.404,7.51311,6.47642,1.0367,9.56247,32.7714,8.04605,1.51642,0.9714,3.7714,4.7429,2.8857,1.3429,0.2,20.5143,New Jersey Nets,1,27,27
38,Landry Fields,Stanford,P10,32,90.3,110.3,31.0,51.9,56.04,7.9,20.6,19.6,13.6,179,257,0.696,219,420,0.521,29,86,0.337,2.3,2.6,50.8,Sr,6-07,5.76639,130.526,2.2,2010,all,51.2,1.07224916,126.0,186.0,93.0,233.0,0.6774,0.3991,27.0,32.0,0.8438,Drafted,97.9116,93.4292,4.14431,252.206,8.93532,5.67647,3.25885,10.602,36.25,8.16358,2.43847,2.5312,6.2188,8.75,2.7812,1.5938,0.7812,22.0,New York Knicks,2,9,39
39,Dominique Jones,South Florida,BE,33,92.0,110.1,30.2,50.3,56.22,3.6,14.9,24.4,16.0,209,282,0.741,170,326,0.521,52,167,0.311,1.6,2.8,57.2,Jr,6-04,5.66368,128.843,3.0,2010,all,,1.23712323,102.0,148.0,68.0,178.0,0.6892,0.382,11.0,12.0,0.9167,Drafted,98.0138,92.4328,4.35227,235.792,8.4962,5.97313,2.52308,9.79203,37.0909,6.99379,2.79824,1.1212,4.9697,6.0909,3.6364,1.697,0.5758,21.3636,Memphis Grizzlies,1,25,25
40,Trevor Booker,Clemson,ACC,32,76.9,112.0,24.7,53.3,54.95,10.1,20.4,17.4,14.4,101,171,0.591,179,327,0.547,9,34,0.265,4.6,2.5,47.4,Sr,6-07,4.35402,125.31,2.6,2010,all,49.8,1.30642577,139.0,192.0,40.0,135.0,0.724,0.2963,33.0,37.0,0.8919,Drafted,88.4183,84.658,4.46515,225.348,9.79521,4.77296,5.02225,10.0595,30.75,6.40153,3.65793,2.7812,5.5938,8.375,2.5312,1.3438,1.4062,15.1875,Minnesota Timberwolves,1,23,23
41,Ekpe Udoh,Baylor,B12,35,88.0,110.5,23.0,49.1,52.99,12.8,17.6,14.7,17.9,110,159,0.692,178,358,0.497,7,26,0.269,11.0,1.4,41.4,Jr,6-10,4.3974,120.501,2.8,2010,all,47.4,1.11631598,78.0,109.0,100.0,249.0,0.7156,0.4016,30.0,32.0,0.9375,Drafted,93.4571,88.0061,4.70314,273.986,11.5652,4.36662,7.19855,8.83903,35.4571,4.87541,3.96362,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143,Golden State Warriors,1,6,6
42,Da'Sean Butler,West Virginia,BE,38,87.9,117.8,23.9,48.3,54.12,5.0,15.4,19.2,13.0,168,213,0.789,138,305,0.452,70,198,0.354,1.3,1.7,42.3,Sr,6-07,5.61835,130.557,2.4,2010,all,78.8,1.74998598,57.0,90.0,81.0,217.0,0.6333,0.3733,5.0,5.0,1.0,Drafted,97.556,90.296,4.41748,239.493,8.5762,6.33495,2.24126,8.952,35.7368,6.60763,2.34437,1.6053,4.6316,6.2368,3.1316,0.9737,0.3947,17.2105,Miami Heat,2,12,42
43,Luke Harangody,Notre Dame,BE,30,69.9,113.0,31.8,50.6,55.19,8.3,24.2,11.8,10.6,140,178,0.787,219,426,0.514,25,81,0.309,2.1,0.9,35.1,Sr,6-08,5.59259,133.597,2.8,2010,all,82.4,0.8703889,113.0,171.0,106.0,255.0,0.6608,0.4157,10.0,12.0,0.8333,Drafted,103.004,98.5961,3.17934,184.54,3.39615,3.98874,-0.592593,5.02742,32.9667,6.06659,-1.03917,2.2333,6.8667,9.1,1.5667,0.4667,0.6667,21.7667,Boston Celtics,2,22,52
44,Gani Lawal,Georgia Tech,ACC,35,64.6,101.9,26.0,52.3,54.11,13.2,21.7,3.6,18.2,124,219,0.566,168,320,0.525,0,1,0.0,5.7,1.0,68.2,Jr,6-09,2.86124,116.437,3.2,2010,all,96.4,0.19738418,117.0,164.0,51.0,156.0,0.7134,0.3269,45.0,53.0,0.8491,Drafted,90.5136,86.0717,3.62291,205.769,2.17601,0.323187,1.85282,3.89827,25.9143,2.69945,1.19882,3.0,5.5714,8.5714,0.4286,0.4571,1.4,13.1429,Phoenix Suns,2,16,46
45,Patrick Patterson,Kentucky,SEC,38,81.8,129.5,17.2,60.7,62.42,10.6,13.4,5.5,10.7,90,130,0.692,191,305,0.626,24,69,0.348,4.1,1.2,34.8,Jr,6-09,5.09067,129.364,1.9,2010,all,98.2,0.87811659,136.0,165.0,50.0,127.0,0.8242,0.3937,65.0,70.0,0.9286,Drafted,94.0703,89.5707,4.19133,233.26,9.11359,5.81768,3.29592,8.74506,33.0263,6.23586,2.5092,3.0526,4.3947,7.4474,0.9474,0.7105,1.3421,14.3158,Houston Rockets,1,14,14
46,Quincy Pondexter,Washington,P10,36,80.4,123.0,25.2,54.7,60.82,10.3,15.0,11.2,12.8,187,226,0.827,227,413,0.55,18,51,0.353,1.8,2.2,48.7,Sr,6-06,5.83159,136.751,3.1,2010,all,94.0,0.92646512,113.0,143.0,114.0,270.0,0.7902,0.4222,34.0,35.0,0.9714,Drafted,95.2815,90.3543,4.03499,237.307,9.18086,6.61291,2.56795,9.62658,32.2778,7.5522,2.07438,2.9722,4.3889,7.3611,1.75,1.2778,0.5833,19.3056,Oklahoma City Thunder,1,26,26
47,Magnum Rolle,Louisiana Tech,WAC,34,72.7,108.0,24.1,51.4,54.14,13.3,18.3,5.9,15.7,93,141,0.66,189,368,0.514,0,0,0.0,7.0,1.5,38.3,Sr,6-11,2.87189,112.16,3.7,2010,all,96.8,0.41789301,121.0,193.0,68.0,175.0,0.6269,0.3886,35.0,36.0,0.9722,Drafted,97.3005,95.1309,3.25807,218.895,3.08677,0.0956688,2.99111,2.66439,30.1471,1.6715,0.992891,3.5294,4.8824,8.4118,0.8235,0.7647,2.0882,13.8529,Oklahoma City Thunder,2,21,51
48,Terrico White,Mississippi,SEC,35,77.7,111.4,22.4,49.8,52.63,5.3,9.9,9.1,10.7,85,119,0.714,131,269,0.487,61,178,0.343,0.6,1.6,26.6,So,6-05,3.73323,119.131,2.2,2010,all,75.6,1.10633701,51.0,85.0,80.0,183.0,0.6,0.4372,14.0,17.0,0.8235,Drafted,102.774,98.5941,3.00917,177.929,3.25796,3.93788,-0.679919,3.9374,31.5143,4.12324,-0.185844,1.5714,3.0,4.5714,1.4857,0.8857,0.2,15.1429,Detroit Pistons,2,6,36
49,Greg Monroe,Georgetown,BE,34,85.6,106.8,27.5,53.4,56.68,8.6,25.2,22.4,20.8,138,209,0.66,195,358,0.545,7,27,0.259,4.9,2.2,54.3,So,6-11,4.66555,123.778,3.0,2010,all,98.6,1.14286144,154.0,238.0,33.0,102.0,0.6471,0.3235,21.0,22.0,0.9545,Drafted,93.1304,86.8378,4.7123,266.081,8.07504,3.30906,4.76598,7.86202,34.2353,4.54337,3.31865,2.1765,7.4706,9.6471,3.7647,1.2353,1.5294,16.1471,Detroit Pistons,1,7,7
50,Al-Farouq Aminu,Wake Forest,ACC,31,76.4,101.8,27.8,47.1,52.4,14.6,20.5,9.1,20.6,139,199,0.698,149,308,0.484,18,66,0.273,4.5,2.6,53.2,So,6-09,3.55131,118.004,3.8,2010,all,98.4,0.41415375,112.0,173.0,37.0,135.0,0.6474,0.2741,46.0,48.0,0.9583,Drafted,90.2827,85.7956,4.31568,237.061,6.58999,2.7312,3.85879,6.42958,31.2903,4.27468,2.15491,4.2903,6.4194,10.7097,1.3226,1.4194,1.4194,15.8387,Los Angeles Clippers,1,8,8
