,Nodraft,Yesdraft,Player,Team,Conference
483,0.996,0.004,Aaron Nettles,Seattle,WAC
484,0.958,0.042,Jordan Usher,Georgia Tech,ACC
485,1.0,0.0,Christiaan Jones,Stetson,ASun
486,1.0,0.0,Ryan Burkhardt,Southeastern Louisiana,Slnd
487,1.0,0.0,Ajani Kennedy,Cal Poly,BW
488,0.996,0.004,Tervell Beck,Kent St.,MAC
489,0.994,0.006,Chyree Walker,Radford,BSth
490,1.0,0.0,Myles Smith,Texas A&M Corpus Chris,Slnd
491,1.0,0.0,Kamron Reaves,Florida A&M,MEAC
492,0.998,0.002,Garrett Covington,Youngstown St.,Horz
493,0.99,0.01,Jarvis Doles,Albany,AE
494,0.998,0.002,Damari Milstead,Cal St. Fullerton,BW
495,0.99,0.01,Kane Williams,Georgia St.,SB
496,0.998,0.002,Evan Kuhlman,Evansville,MVC
497,0.996,0.004,Takal Molson,James Madison,CAA
498,0.968,0.032,Da'Monte Williams,Illinois,B10
499,0.998,0.002,Mark Smith,Kansas St.,B12
500,0.97,0.03,Jack Nunge,Xavier,BE
501,1.0,0.0,Hunt Conroy,Minnesota,B10
502,0.998,0.002,Miryne Thomas,Ball St.,MAC
503,1.0,0.0,Kevin Johnson,Illinois Chicago,Horz
504,1.0,0.0,Oliver Lynch-Daniels,Colgate,Pat
505,0.994,0.006,Daejon Davis,Washington,P12
506,0.964,0.036,Richard Harward,BYU,WCC
507,0.998,0.002,Jay Green,Northern Arizona,BSky
508,0.996,0.004,Cheikh Mbacke Diong,UCF,Amer
509,0.998,0.002,Keaton Hervey,Missouri St.,MVC
510,0.998,0.002,Marvin Nesbitt Jr.,UMKC,Sum
511,0.992,0.008,Tyree Appleby,Florida,SEC
512,0.998,0.002,Sam Waardenburg,Miami FL,ACC
513,0.988,0.012,JD Notae,Arkansas,SEC
514,1.0,0.0,Jarrod Simmons,Hofstra,CAA
515,0.978,0.022,Carter Collins,Murray St.,OVC
516,0.992,0.008,Azar Swain,Yale,Ivy
517,0.996,0.004,Jesus Cruz,Fairfield,MAAC
518,1.0,0.0,Curtis Haywood II,Tulsa,Amer
519,1.0,0.0,Jason Whitens,Michigan St.,B10
520,0.996,0.004,Jordan Goldwire,Oklahoma,B12
521,0.982,0.018,Danilo Djuricic,Santa Clara,WCC
522,1.0,0.0,Marek Nelson,UT Rio Grande Valley,WAC
523,0.994,0.006,Marquis Eaton,Arkansas St.,SB
524,1.0,0.0,Troy Green,New Orleans,Slnd
525,0.986,0.014,Donnie Tillman,New Mexico St.,WAC
526,1.0,0.0,Brion Whitley,Southern,SWAC
527,0.996,0.004,Lucas Williamson,Loyola Chicago,MVC
528,0.998,0.002,Josh Anderson,Western Kentucky,CUSA
529,1.0,0.0,Miles Brookins,Cal St. Northridge,BW
530,0.998,0.002,Jamir Moultrie,Kennesaw St.,ASun
531,1.0,0.0,DJ Heath,Alabama St.,SWAC
532,0.98,0.02,Teddy Allen,New Mexico St.,WAC
533,1.0,0.0,Greg Eboigbodin,Northeastern,CAA
534,0.998,0.002,Kevin Anderson,Delaware,CAA
535,0.99,0.01,Victor Bailey Jr.,Tennessee,SEC
536,0.998,0.002,Chris Vogt,Wisconsin,B10
537,1.0,0.0,James Beck,Miami OH,MAC
538,1.0,0.0,Jalanni White,Penn St.,B10
539,0.99,0.01,Abu Kigab,Boise St.,MWC
540,1.0,0.0,Mike Adewunmi,UT Rio Grande Valley,WAC
541,0.952,0.048,Kyle Foster,Howard,MEAC
542,0.998,0.002,Cam Bacote,Western Carolina,SC
543,0.996,0.004,KeyShawn Feazell,Creighton,BE
544,0.998,0.002,Darius Banks,Chattanooga,SC
545,0.99,0.01,Dhamir Cosby-Roundtree,Villanova,BE
546,0.954,0.046,Collin Gillespie,Villanova,BE
547,1.0,0.0,Larry Owens,Northwestern St.,Slnd
548,0.994,0.006,Ryan Allen,Delaware,CAA
549,0.994,0.006,Darryl Morsell,Marquette,BE
550,1.0,0.0,San Antonio Brinson,Texas A&M Corpus Chris,Slnd
551,1.0,0.0,Braden Burke,Oakland,Horz
552,1.0,0.0,Virshon Cotton,New Mexico St.,WAC
553,1.0,0.0,Torrey Patton,Cleveland St.,Horz
554,0.992,0.008,Eric Parrish,Grambling St.,SWAC
555,0.994,0.006,Ishmael El-Amin,Rhode Island,A10
556,0.99,0.01,Manny Patterson,Southeast Missouri St.,OVC
557,0.994,0.006,Luke Loewe,Minnesota,B10
558,0.996,0.004,D'Shawn Schwartz,George Mason,A10
559,1.0,0.0,Alfred Hollins,UTEP,CUSA
560,0.958,0.042,Marcus Santos-Silva,Texas Tech,B12
561,1.0,0.0,Jaylen Minnett,Missouri St.,MVC
562,0.988,0.012,David Kachelries,Stephen F. Austin,Slnd
563,1.0,0.0,Elijah Gonzales,Louisiana Monroe,SB
564,0.994,0.006,Kevion Nolan,Jacksonville,ASun
565,0.998,0.002,Ferron Flavors Jr.,Robert Morris,Horz
566,0.976,0.024,Michael Flowers,Washington St.,P12
567,1.0,0.0,Reed Farley,UC San Diego,BW
568,0.936,0.064,Marreon Jackson,Arizona St.,P12
569,1.0,0.0,Miles Lester,Wake Forest,ACC
570,0.996,0.004,Kimani Lawrence,Arizona St.,P12
571,0.948,0.052,Marcus Weathers,SMU,Amer
572,0.872,0.128,Eli Scott,Loyola Marymount,WCC
573,0.988,0.012,Michael Weathers,SMU,Amer
574,1.0,0.0,Quentin Scott,Tulane,Amer
575,1.0,0.0,Alec Loehr,Navy,Pat
576,1.0,0.0,Jordan Perkins,Longwood,BSth
577,0.912,0.088,Tyreke Key,Indiana St.,MVC
578,1.0,0.0,Mamadou Doucoure,La Salle,A10
579,1.0,0.0,Javon Greene,South Florida,Amer
580,0.958,0.042,Jamir Harris,Seton Hall,BE
581,0.996,0.004,Myles Cale,Seton Hall,BE
582,0.998,0.002,Elijah Olaniyi,Stony Brook,AE
583,0.998,0.002,Cameron Bowles,North Carolina Central,MEAC
584,0.994,0.006,Bryce Fowler,Sacramento St.,BSky
585,0.982,0.018,James Lewis Jr.,Appalachian St.,SB
586,0.962,0.038,Dalonte Brown,Miami OH,MAC
587,0.992,0.008,Dominick Pickett,UC Riverside,BW
588,1.0,0.0,Justin Forrest,Appalachian St.,SB
589,0.958,0.042,Josh Carlton,Houston,Amer
590,1.0,0.0,Michael Carter III,Portland St.,BSky
591,1.0,0.0,Hameir Wright,North Texas,CUSA
592,1.0,0.0,Alex Watson,Sacred Heart,NEC
593,0.996,0.004,E.J. Anosike,Cal St. Fullerton,BW
594,0.984,0.016,Myles Carter,Delaware St.,MEAC
595,0.998,0.002,Johquin Wiley,Hampton,BSth
596,1.0,0.0,Alex Tostado,Chattanooga,SC
597,0.998,0.002,"Shavar Reynolds, Jr.",Monmouth,MAAC
598,1.0,0.0,Carl Pierre,Rice,CUSA
599,0.998,0.002,Michael Ertel,UAB,CUSA
600,1.0,0.0,Gilles Dekoninck,UTEP,CUSA
601,0.98,0.02,Eral Penn,LIU Brooklyn,NEC
602,0.998,0.002,Deshaun Highler,Sacramento St.,BSky
603,0.998,0.002,Melik Martin,Drexel,CAA
604,0.996,0.004,George Papas,Monmouth,MAAC
605,0.992,0.008,Kameron Langley,North Carolina A&T,MEAC
606,0.792,0.208,Yauhen Massalski,San Francisco,WCC
607,0.938,0.062,Silvio De Sousa,Chattanooga,SC
608,0.998,0.002,Darius Quisenberry,Fordham,A10
609,1.0,0.0,B.J. Shaw,UC Davis,BW
610,0.994,0.006,Caleb Fuller,UC Davis,BW
611,0.986,0.014,Travis Anderson,Charleston Southern,BSth
612,1.0,0.0,Brandon Slater,Villanova,BE
613,1.0,0.0,Luis Hurtado Jr.,Bryant,NEC
614,1.0,0.0,Tim Fuller,Utah Valley,WAC
615,0.99,0.01,Damion Squire,Portland St.,BSky
616,1.0,0.0,Kihei Clark,Virginia,ACC
617,1.0,0.0,Robby Carmody,Notre Dame,ACC
618,1.0,0.0,William McNair,New Mexico St.,WAC
619,0.954,0.046,Nate Laszewski,Notre Dame,ACC
620,0.982,0.018,Prentiss Hubb,Notre Dame,ACC
621,1.0,0.0,Kevin Schutte,Incarnate Word,Slnd
622,0.99,0.01,Kody Stattmann,Virginia,ACC
623,0.978,0.022,Tanner Groves,Oklahoma,B12
624,0.996,0.004,Leaky Black,North Carolina,ACC
625,0.988,0.012,Nana Opoku,Mount St. Mary's,NEC
626,0.998,0.002,Avery Benson,Texas,B12
627,0.996,0.004,Mohammed Abdulsalam,UNC Greensboro,SC
628,0.984,0.016,Victor Bafutto,Mercer,SC
629,1.0,0.0,Angelo Allegri,Eastern Washington,BSky
630,1.0,0.0,Deandre Thomas,Mount St. Mary's,NEC
631,1.0,0.0,Robert Allen,Mississippi,SEC
632,1.0,0.0,Larry Moreno,St. Francis NY,NEC
633,0.984,0.016,Gabe Watson,Jackson St.,SWAC
634,1.0,0.0,Jaden Robinson,Georgetown,BE
635,0.936,0.064,Hunter Tyson,Clemson,ACC
636,0.986,0.014,Montez Mathis,St. John's,BE
637,0.978,0.022,Caleb McConnell,Rutgers,B10
638,0.996,0.004,Emmanuel Dowuona,Tennessee St.,OVC
639,0.974,0.026,Eric Hunter Jr.,Purdue,B10
640,0.994,0.006,MJ Randolph,Florida A&M,MEAC
641,1.0,0.0,Cameron Healy,Central Michigan,MAC
642,0.924,0.076,Jermaine Couisnard,South Carolina,SEC
643,0.69,0.31,Colin Castleton,Florida,SEC
644,0.994,0.006,David DeJulius,Cincinnati,Amer
645,0.992,0.008,Ricky Lindo Jr.,George Washington,A10
646,0.996,0.004,Thomas Kithier,Valparaiso,MVC
647,0.78,0.22,Christian Bishop,Texas,B12
648,0.99,0.01,Bryce Golden,Butler,BE
649,0.998,0.002,Markeese Hastings,Western Michigan,MAC
650,0.994,0.006,Efe Odigie,Troy,SB
651,0.996,0.004,Greg Williams Jr.,Louisiana Lafayette,SB
652,1.0,0.0,Marcellus Earlington,San Diego,WCC
653,1.0,0.0,Adrian Rodriguez,UTSA,CUSA
654,1.0,0.0,DeVon Baker,Tulane,Amer
655,1.0,0.0,Coty Jude,UNC Asheville,BSth
656,0.984,0.016,Luke Lawson,UNC Asheville,BSth
657,1.0,0.0,Junior Ballard,Fresno St.,MWC
658,0.994,0.006,Filip Rebraca,Iowa,B10
659,0.988,0.012,Josh LeBlanc Sr.,UAB,CUSA
660,1.0,0.0,Deante Johnson,Cleveland St.,Horz
661,1.0,0.0,Tamir Bynum,New Orleans,Slnd
662,1.0,0.0,Tariq Silver,Austin Peay,OVC
663,1.0,0.0,Brandon Wade,Michigan,B10
664,0.998,0.002,Onyi Eyisi,Cal St. Northridge,BW
665,0.994,0.006,Aljaz Kunc,Iowa St.,B12
666,0.992,0.008,Joey Hauser,Michigan St.,B10
667,1.0,0.0,Ibrahim Ali,Tulane,Amer
668,1.0,0.0,Shandon Brown,Niagara,MAAC
669,1.0,0.0,Mezie Offurum,Mount St. Mary's,NEC
670,1.0,0.0,Trey Hopkins,Seattle,WAC
671,0.998,0.002,Riley Grigsby,Seattle,WAC
672,1.0,0.0,Jacob Eyman,Portland St.,BSky
673,0.998,0.002,Quinton Johnson II,UT Rio Grande Valley,WAC
674,1.0,0.0,Jermaine Harris,New Mexico St.,WAC
675,1.0,0.0,Luke Frampton,Western Kentucky,CUSA
676,0.994,0.006,David Azore,UT Arlington,SB
677,0.998,0.002,Jared Rodriguez,Idaho St.,BSky
678,0.994,0.006,Aaron Wheeler,St. John's,BE
679,1.0,0.0,Josiah Strong,Illinois St.,MVC
680,1.0,0.0,Dave Kasanganay,East Carolina,Amer
681,1.0,0.0,Jerry Higgins III,The Citadel,SC
682,0.998,0.002,Maurice Commander,Illinois Chicago,Horz
683,1.0,0.0,Robert Swanson,Furman,SC
684,0.984,0.016,Kyler Edwards,Houston,Amer
685,0.962,0.038,Josh Mballa,Buffalo,MAC
686,1.0,0.0,Jose Perez,Manhattan,MAAC
687,0.994,0.006,Zay Williams,Troy,SB
688,0.992,0.008,Vincent Lee,Cal St. Fullerton,BW
689,1.0,0.0,K.J. Hymes,Nevada,MWC
690,1.0,0.0,Jalen Townsell,Sacramento St.,BSky
691,0.994,0.006,Daylen Kountz,Northern Colorado,BSky
692,0.99,0.01,Shaun Williams,Cal St. Bakersfield,BW
693,0.998,0.002,Austin Trice,Old Dominion,CUSA
694,0.902,0.098,David McCormack,Kansas,B12
695,0.998,0.002,Jamal Bieniemy,UTEP,CUSA
696,0.996,0.004,Isaac Likekele,Oklahoma St.,B12
697,0.99,0.01,Maurice Calloo,Oregon St.,P12
698,1.0,0.0,Duncan Demuth,Vermont,AE
699,0.842,0.158,Kendric Davis,SMU,Amer
700,0.998,0.002,Kaden Archie,Georgia Southern,SB
701,1.0,0.0,Arashma Parks,Temple,Amer
702,1.0,0.0,Adam Seiko,San Diego St.,MWC
703,1.0,0.0,Iran Bennett,Eastern Kentucky,ASun
704,0.688,0.312,Taevion Kinsey,Marshall,CUSA
705,1.0,0.0,Jeremy Dillon,Marshall,CUSA
706,0.996,0.004,Sloan Seymour,New Hampshire,AE
707,0.978,0.022,Cory Hightower,Winthrop,BSth
708,1.0,0.0,Josiah Jeffers,Radford,BSth
709,1.0,0.0,Cooper Kaifes,Samford,SC
710,1.0,0.0,Mitch Listau,Green Bay,Horz
711,1.0,0.0,Cameron Burrell,Western Illinois,Sum
712,0.998,0.002,Robin Duncan,Vermont,AE
713,0.916,0.084,Ryan Davis,Vermont,AE
714,0.982,0.018,Ben Stanley,Xavier,BE
715,0.998,0.002,Matiss Kulackovskis,Bowling Green,MAC
716,1.0,0.0,Yuat Alok,New Mexico St.,WAC
717,0.998,0.002,Kaosi Ezeagu,Kansas St.,B12
718,1.0,0.0,Luke Avdalovic,Pacific,WCC
719,0.996,0.004,Nik Mains,Northern Arizona,BSky
720,0.988,0.012,Nick Guadarrama,New Hampshire,AE
721,0.992,0.008,Jayden Martinez,New Hampshire,AE
722,0.998,0.002,Jack Clark,La Salle,A10
723,0.99,0.01,Ed Croswell,Providence,BE
724,0.996,0.004,Jared Kimbrough,Hartford,AE
725,0.912,0.088,Jahvon Quinerly,Alabama,SEC
726,0.968,0.032,Jalen Slawson,Furman,SC
727,0.996,0.004,Carlos Curtis,SIU Edwardsville,OVC
728,1.0,0.0,Daivien Williamson,Wake Forest,ACC
729,0.994,0.006,Mike Bothwell,Furman,SC
730,1.0,0.0,Jaylon Pugh,Furman,SC
731,0.998,0.002,Isaiah Poor Bear-Chandler,Nebraska Omaha,Sum
732,0.988,0.012,Dre Fuller Jr.,UCF,Amer
733,1.0,0.0,Chris Ford,Norfolk St.,MEAC
734,0.998,0.002,Bryce Workman,Jacksonville,ASun
735,0.992,0.008,Mason Harrell,Texas St.,SB
736,0.96,0.04,Connor Vanover,Arkansas,SEC
737,1.0,0.0,Jack Schoemann,Cal St. Bakersfield,BW
738,0.992,0.008,Andre Kelly,California,P12
739,0.954,0.046,Matt Bradley,San Diego St.,MWC
740,1.0,0.0,Rashun Williams,Radford,BSth
741,1.0,0.0,CJ White,Little Rock,SB
742,1.0,0.0,Zion Griffin,Illinois Chicago,Horz
743,0.99,0.01,Jahmar Young Jr.,SMU,Amer
744,0.996,0.004,George Conditt IV,Iowa St.,B12
745,1.0,0.0,Russell Barlow,Cal Baptist,WAC
746,0.996,0.004,Connor Crabtree,Richmond,A10
747,0.98,0.02,Moses Wood,Portland,WCC
748,1.0,0.0,Jamarius Burton,Pittsburgh,ACC
749,0.996,0.004,Dexter Dennis,Wichita St.,Amer
750,0.992,0.008,Tavin Lovan,UAB,CUSA
751,0.994,0.006,Payton Moore,Denver,Sum
752,0.968,0.032,Drew Peterson,USC,P12
753,0.998,0.002,Quentin Millora-Brown,Vanderbilt,SEC
754,1.0,0.0,Chris Mullins,Rice,CUSA
755,0.998,0.002,Antwuan Butler,NJIT,AE
756,0.998,0.002,Rey Idowu,Tulsa,Amer
757,1.0,0.0,Hunter Marks,Hartford,AE
758,0.986,0.014,Mason Forbes,Harvard,Ivy
759,1.0,0.0,Sekou Toure,UC Santa Barbara,BW
760,0.912,0.088,Xavier Johnson,Indiana,B10
761,0.992,0.008,Donatas Kupsas,Weber St.,BSky
762,0.718,0.282,Trevion Williams,Purdue,B10
763,1.0,0.0,Jordan Henderson,Canisius,MAAC
764,0.998,0.002,Isaiah Kelly,Yale,Ivy
765,1.0,0.0,Quinn Blair,William & Mary,CAA
766,0.964,0.036,Chase Audige,Northwestern,B10
767,0.998,0.002,L.J. Owens,UMBC,AE
768,1.0,0.0,Allen Betrand,Rhode Island,A10
769,0.998,0.002,Mehkel Harvey,William & Mary,CAA
770,0.996,0.004,Juan Ducasse,Santa Clara,WCC
771,0.992,0.008,Landers Nolley II,Memphis,Amer
772,0.998,0.002,Isaiah Wilkins,Longwood,BSth
773,0.998,0.002,Robert Braswell,Charlotte,CUSA
774,1.0,0.0,Jalen Carey,Rhode Island,A10
775,1.0,0.0,Marque Maultsby,North Carolina Central,MEAC
776,1.0,0.0,Rod Brown,Jacksonville,ASun
777,0.996,0.004,Michael Wynn,Akron,MAC
778,0.998,0.002,Francis Okoro,Saint Louis,A10
779,0.976,0.024,Bryce Hamilton,UNLV,MWC
780,0.914,0.086,Collin Welp,UC Irvine,BW
781,1.0,0.0,Zach Chappell,Sacramento St.,BSky
782,0.992,0.008,Miles Norris,UC Santa Barbara,BW
783,1.0,0.0,Kaison Hammonds,San Jose St.,MWC
784,0.998,0.002,Seneca Knight,BYU,WCC
785,1.0,0.0,Stanley Henderson Jr.,Samford,SC
786,0.894,0.106,Maizen Fausett,Southern Utah,BSky
787,0.994,0.006,Caleb Nero,North Dakota,Sum
788,0.998,0.002,Dima Zdor,Grand Canyon,WAC
789,1.0,0.0,Antonio Rizzuto,Towson,CAA
790,1.0,0.0,Erik Stevenson,South Carolina,SEC
791,0.992,0.008,Morris Udeze,Wichita St.,Amer
792,1.0,0.0,Madiaw Niang,Florida Atlantic,CUSA
793,0.926,0.074,Logan Johnson,Saint Mary's,WCC
794,0.966,0.034,Jairus Hamilton,Western Kentucky,CUSA
795,1.0,0.0,Caleb Catto,Florida Gulf Coast,ASun
796,1.0,0.0,Zach Scott,McNeese St.,Slnd
797,0.994,0.006,Matt Gray,UC San Diego,BW
798,0.948,0.052,Liam Robbins,Vanderbilt,SEC
799,0.982,0.018,Jawaun Newton,Evansville,MVC
800,0.994,0.006,Shamar Givance,Evansville,MVC
801,0.998,0.002,Logan Dye,Samford,SC
802,1.0,0.0,Ralph Bissainthe,Central Michigan,MAC
803,1.0,0.0,Jordan Lathon,Milwaukee,Horz
804,0.998,0.002,Coletrane Washington,Drexel,CAA
805,1.0,0.0,Ithiel Horton,Pittsburgh,ACC
806,1.0,0.0,Matey Juric,Drexel,CAA
807,0.98,0.02,Camren Wynter,Drexel,CAA
808,1.0,0.0,Kale Catchings,Harvard,Ivy
809,1.0,0.0,Jay Nagle,UC Santa Barbara,BW
810,0.854,0.146,Amadou Sow,UC Santa Barbara,BW
811,1.0,0.0,Souleymane Diakite,NJIT,AE
812,0.996,0.004,Kjell de Graaf,NJIT,AE
813,0.998,0.002,Cantavio Dutreil,Sacred Heart,NEC
814,0.996,0.004,Aleksa Matic,North Alabama,ASun
815,0.956,0.044,Ahsan Asadullah,Lipscomb,ASun
816,0.994,0.006,Cameron Parker,Montana,BSky
817,1.0,0.0,Zach Pfaffenberger,Sacred Heart,NEC
818,1.0,0.0,Aaron Clarke,Sacred Heart,NEC
819,1.0,0.0,Cameron Wilbon,Sacramento St.,BSky
820,0.992,0.008,Koreem Ozier,Louisiana Monroe,SB
821,1.0,0.0,Myles Thompson,St. Francis PA,NEC
822,0.936,0.064,Marcus Bingham Jr.,Michigan St.,B10
823,1.0,0.0,Zac Watson,Longwood,BSth
824,0.998,0.002,Jeremiah Gambrell,Prairie View A&M,SWAC
825,0.962,0.038,Callum McRae,UC Riverside,BW
826,0.998,0.002,Oddyst Walker,Alcorn St.,SWAC
827,1.0,0.0,Jalon Clark,Prairie View A&M,SWAC
828,1.0,0.0,Jock Hughes,Prairie View A&M,SWAC
829,1.0,0.0,Caden Sanchez,High Point,BSth
830,0.996,0.004,Trey Woodbury,Utah Valley,WAC
831,0.996,0.004,Austin Smellie,Idaho St.,BSky
832,0.996,0.004,Foster Loyer,Davidson,A10
833,0.984,0.016,Brandon Johns Jr.,Michigan,B10
834,0.998,0.002,Adrien Nunez,Michigan,B10
835,1.0,0.0,Ethan Wright,Princeton,Ivy
836,1.0,0.0,KeShawn Curry,VCU,A10
837,1.0,0.0,Jaelin Llewellyn,Princeton,Ivy
838,1.0,0.0,Drew Friberg,Princeton,Ivy
839,0.998,0.002,Max Johns,Princeton,Ivy
840,1.0,0.0,Isaac Chatman,North Alabama,ASun
841,1.0,0.0,Milos Stajcic,Campbell,BSth
842,1.0,0.0,Spencer Johnson,BYU,WCC
843,0.998,0.002,Michael Forrest,Florida Atlantic,CUSA
844,0.99,0.01,"Antonio Daye, Jr.",Fordham,A10
845,0.96,0.04,Chris Doherty,Northeastern,CAA
846,1.0,0.0,Stacey Thomas,Louisiana Tech,CUSA
847,1.0,0.0,Isaiah Mucius,Wake Forest,ACC
848,1.0,0.0,Jamal Bey,Washington,P12
849,1.0,0.0,Brent Hank,Albany,AE
850,0.996,0.004,Trey Jemison,UAB,CUSA
851,1.0,0.0,John Newman III,Cincinnati,Amer
852,1.0,0.0,Robert Brown,Iona,MAAC
853,0.988,0.012,Wynston Tabbs,East Carolina,Amer
854,0.994,0.006,Nathan Mensah,San Diego St.,MWC
855,0.986,0.014,Will Richardson,Oregon,P12
856,0.984,0.016,Christian Anigwe,UC Davis,BW
857,1.0,0.0,George Maslennikov,Canisius,MAAC
858,0.994,0.006,Alonzo Sule,James Madison,CAA
859,0.986,0.014,Ja'Shon Henry,Bradley,MVC
860,0.986,0.014,Darius McGhee,Liberty,ASun
861,0.924,0.076,Rasir Bolton,Gonzaga,WCC
862,1.0,0.0,Sam Shafer,Albany,AE
863,0.95,0.05,Ari Boya,Bradley,MVC
864,0.992,0.008,Eli Parquet,Colorado,P12
865,1.0,0.0,Samuel Chaput,Monmouth,MAAC
866,1.0,0.0,Nikkei Rutty,Monmouth,MAAC
867,1.0,0.0,Marcus Hammond,Niagara,MAAC
868,1.0,0.0,Steven Levnaic,Niagara,MAAC
869,0.996,0.004,Tyrel Bladen,Rider,MAAC
870,0.956,0.044,Jalen Pickett,Penn St.,B10
871,0.968,0.032,Justin Bean,Utah St.,MWC
872,0.996,0.004,Cole Swider,Syracuse,ACC
873,0.992,0.008,Jake Forrester,Temple,Amer
874,1.0,0.0,Jerome Hunter,Xavier,BE
875,0.982,0.018,Rob Phinisee,Indiana,B10
876,1.0,0.0,Dragan Elkaz,UC Riverside,BW
877,1.0,0.0,Damezi Anderson,Loyola Chicago,MVC
878,0.998,0.002,Tuukka Jaakkola,Cal Poly,BW
879,1.0,0.0,Tim Finke,Wright St.,Horz
880,1.0,0.0,Deshon Parker,Cleveland St.,Horz
881,0.996,0.004,Warren Williams,Manhattan,MAAC
882,1.0,0.0,Taurus Samuels,Dartmouth,Ivy
883,0.972,0.028,Markquis Nowell,Kansas St.,B12
884,0.976,0.024,Kamani Johnson,Arkansas,SEC
885,1.0,0.0,Tomas Verbinskis,Lafayette,Pat
886,1.0,0.0,Adrian Delph,Appalachian St.,SB
887,0.988,0.012,Luis Rodriguez,Mississippi,SEC
888,0.998,0.002,Amari Kelly,UNC Wilmington,CAA
889,0.998,0.002,Tyler Harris,Memphis,Amer
890,0.986,0.014,Alex Lomax,Memphis,Amer
891,0.99,0.01,Antwann Jones,Louisiana Lafayette,SB
892,0.996,0.004,Jayden Hardaway,Memphis,Amer
893,1.0,0.0,Madut Akec,Detroit,Horz
894,0.998,0.002,Xavier Castaneda,Akron,MAC
895,0.978,0.022,Michael Durr,Indiana,B10
896,0.992,0.008,Race Thompson,Indiana,B10
897,0.976,0.024,Jabari Rice,New Mexico St.,WAC
898,0.978,0.022,Warren Washington,Nevada,MWC
899,0.992,0.008,Jaiden Delaire,Stanford,P12
900,1.0,0.0,Keenan Fitzmorris,Stanford,P12
901,1.0,0.0,Lukas Kisunas,Stanford,P12
902,0.998,0.002,Cormac Ryan,Notre Dame,ACC
903,0.998,0.002,DaQuan Smith,Murray St.,OVC
904,0.988,0.012,Jarron Coleman,Missouri,SEC
905,0.992,0.008,Tayler Mattos,New Hampshire,AE
906,1.0,0.0,Caleb Fields,Bowling Green,MAC
907,1.0,0.0,Connor Harding,Utah Valley,WAC
908,0.868,0.132,AJ Green,Northern Iowa,MVC
909,1.0,0.0,Jordan Phillips,Detroit,Horz
910,1.0,0.0,Matt Herasme,Marist,MAAC
911,1.0,0.0,Samir Stewart,Manhattan,MAAC
912,1.0,0.0,Christian Hinckson,Binghamton,AE
913,0.978,0.022,Elijah Buchanan,Manhattan,MAAC
914,0.942,0.058,Ochai Agbaji,Kansas,B12
915,0.992,0.008,Joey Calcaterra,San Diego,WCC
916,0.972,0.028,David Wingett,South Dakota St.,Sum
917,0.998,0.002,Jamari Blackmon,North Alabama,ASun
918,1.0,0.0,Juan Munoz,Hawaii,BW
919,0.986,0.014,Jeenathan Williams,Buffalo,MAC
920,1.0,0.0,Nevin Zink,Boston University,Pat
921,1.0,0.0,Ronaldo Segu,Buffalo,MAC
922,1.0,0.0,Brandon Martin,South Carolina,SEC
923,0.996,0.004,Bryson Mozone,USC Upstate,BSth
924,0.986,0.014,Nick Muszynski,Belmont,OVC
925,1.0,0.0,Tate Pierson,Belmont,OVC
926,1.0,0.0,D.J. Burns Jr.,Winthrop,BSth
927,1.0,0.0,Alanzo Frink,East Carolina,Amer
928,0.968,0.032,Keyshawn Bryant,South Carolina,SEC
929,0.992,0.008,Jaylen Sims,UNC Wilmington,CAA
930,1.0,0.0,Jack Hoiberg,UT Arlington,SB
931,0.998,0.002,Brian White,Northwestern St.,Slnd
932,0.998,0.002,Joe Bryant Jr.,Norfolk St.,MEAC
933,1.0,0.0,Jahmel Myers,New Orleans,Slnd
934,0.998,0.002,Nate Roberts,Washington,P12
935,0.99,0.01,Deon Stroud,Fresno St.,MWC
936,0.996,0.004,Ty Brewer,East Tennessee St.,SC
937,1.0,0.0,Parker Edwards,LSU,SEC
938,1.0,0.0,Ethan Igbanugo,North Dakota,Sum
939,1.0,0.0,Aaron Fiegen,South Dakota St.,Sum
940,1.0,0.0,Aanen Moody,Southern Utah,BSky
941,1.0,0.0,Francis Lacis,Oral Roberts,Sum
942,0.996,0.004,DeVante' Jones,Michigan,B10
943,0.986,0.014,KJ Buffen,UAB,CUSA
944,0.998,0.002,Franco Miller Jr.,Florida Gulf Coast,ASun
945,1.0,0.0,Tykei Greene,Stony Brook,AE
946,0.996,0.004,KC Hankton,Chattanooga,SC
947,0.996,0.004,Brendan Adams,George Washington,A10
948,0.948,0.052,Josh Alexander,American,Pat
949,0.998,0.002,Demarius Jacobs,Ball St.,MAC
950,0.976,0.024,Jonathan Tchamwa Tchatchoua,Baylor,B12
951,0.994,0.006,Fred Thatch Jr.,Saint Louis,A10
952,0.968,0.032,Javon Freeman-Liberty,DePaul,BE
953,0.966,0.034,De'Torrion Ware,Morgan St.,MEAC
954,1.0,0.0,Jahbril Price-Noel,Wagner,NEC
955,1.0,0.0,Ajare Sanni,UC Santa Barbara,BW
956,1.0,0.0,Darryl Polk Jr.,Pepperdine,WCC
957,1.0,0.0,A.J. Reeves,Providence,BE
958,0.996,0.004,Jimmy Nichols Jr.,VCU,A10
959,1.0,0.0,DeShaun Wade,Longwood,BSth
960,0.998,0.002,Ian Krishnan,Central Connecticut,NEC
961,1.0,0.0,Joe Kasperzyk,Southeastern Louisiana,Slnd
962,1.0,0.0,Kani Acree,Ball St.,MAC
