,id,Nodraft,Yesdraft,Player,Team,Conference,Games Played,Minutes Percentage,Offensive Rating,True Shooting Percentage,Assist Percentage,Turnover Percentage,Block Percentage,Free Throw Percentage,Points Over Replacement Per Adjusted Game,Adjusted Offensive Efficiency
973,973,1.0,0.0,Danya Kingsby,Grambling St.,SWAC,19,35.9,75.0,40.3,13.6,28.9,1.4,0.8,-0.930877,71.5579
974,974,0.93,0.07,Darius Days,LSU,SEC,28,64.8,128.0,63.64,4.3,12.0,1.2,0.703,4.26682,131.062
975,975,0.986,0.014,Kamaka Hepa,Hawaii,BW,9,5.3,121.1,70.37,3.5,18.0,3.6,0.0,0.764163,119.428
976,976,0.956,0.044,KJ Williams,Murray St.,OVC,24,73.6,111.3,61.19,7.4,17.3,2.2,0.693,3.07827,115.399
977,977,0.99,0.01,Diante Wood,Tennessee Tech,OVC,5,12.7,90.1,45.13,12.1,13.7,1.0,0.71,1.05289,98.8016
978,978,1.0,0.0,Gio Nelson,Portland St.,BSky,16,25.2,94.4,57.55,5.5,30.8,0.0,0.778,-0.161795,81.1473
979,979,1.0,0.0,Austin Richie,Florida Gulf Coast,ASun,21,44.3,105.5,52.32,4.1,6.0,0.7,0.727,1.1526,104.007
980,980,0.996,0.004,Jalen Hodge,James Madison,CAA,16,38.1,117.2,60.85,9.5,11.0,1.5,0.684,1.51279,112.188
981,981,1.0,0.0,Michael Dunne,Hartford,AE,23,23.4,98.8,47.73,7.4,10.4,1.6,0.857,0.290659,93.8182
982,982,0.982,0.018,Kobe Julien,Louisiana Lafayette,SB,4,6.2,95.9,47.74,0.0,14.6,3.2,0.571,0.693226,98.5742
983,983,1.0,0.0,Jacob Boonyasith,UMBC,AE,14,25.9,90.6,46.25,6.5,16.3,0.6,0.75,-0.00266194,85.2039
984,984,0.998,0.002,Grehlon Easter,Cal St. Bakersfield,BW,19,20.6,114.9,56.65,9.3,15.9,0.0,0.75,0.806631,107.596
985,985,0.986,0.014,Amanze Ngumezi,Jacksonville St.,OVC,23,38.1,108.8,58.96,9.1,18.7,4.4,0.727,1.58722,112.736
986,986,0.984,0.016,Tye Fagan,Mississippi,SEC,25,54.8,110.7,61.43,9.6,19.6,1.5,0.556,2.19977,114.163
987,987,0.994,0.006,Noah Locke,Louisville,ACC,25,72.4,111.8,56.88,4.4,13.1,0.7,0.778,2.61257,111.24
988,988,0.996,0.004,Andrew Nembhard,Gonzaga,WCC,32,74.4,121.6,57.66,20.2,14.3,0.3,0.754,3.36268,117.82
989,989,1.0,0.0,Tyrone Lyons,Southern,SWAC,19,65.2,89.7,47.65,6.3,18.2,2.8,0.64,0.237143,87.875
990,990,1.0,0.0,Casmir Ochiaka,Loyola MD,Pat,5,5.5,89.3,44.35,0.0,17.0,0.0,0.667,-0.0851343,81.8744
991,991,0.998,0.002,Christian Agnew,UTEP,CUSA,18,38.6,92.4,44.75,8.4,12.6,0.3,0.761,0.554171,94.135
992,992,1.0,0.0,Brady Heiman,South Dakota,Sum,13,14.4,63.7,27.64,4.7,20.2,8.9,0.286,-1.07997,55.9369
993,993,0.978,0.022,Ryan Greer,Northwestern,B10,22,30.1,121.5,65.9,22.2,19.1,0.4,0.875,1.24365,113.736
994,994,1.0,0.0,Gabe Kalscheur,Iowa St.,B12,21,54.8,94.3,45.31,11.3,14.7,0.5,0.86,1.16699,96.3529
995,995,1.0,0.0,Gabe Brown,Michigan St.,B10,25,46.0,116.8,61.27,5.1,12.6,2.6,0.882,1.99502,113.196
996,996,0.996,0.004,Amir Harris,George Washington,A10,11,20.8,81.6,46.55,21.0,28.5,5.6,0.5,-0.22781,82.5551
997,997,0.998,0.002,Flo Thamba,Baylor,B12,30,38.8,116.1,58.4,1.6,18.3,4.8,0.617,1.28988,109.235
998,998,0.766,0.234,Osun Osunniyi,St. Bonaventure,A10,21,85.7,116.4,59.59,13.3,17.3,10.5,0.681,3.55479,115.135
999,999,1.0,0.0,Vince Williams Jr.,VCU,A10,26,71.2,108.6,57.04,15.1,18.4,0.9,0.793,2.58617,111.426
1000,1000,1.0,0.0,P.J. Byrd,Southern,SWAC,27,33.0,102.6,57.57,18.4,26.3,0.3,0.846,0.53605,96.9721
1001,1001,0.994,0.006,Darius Beane,Cal St. Northridge,BW,17,66.1,86.7,40.39,15.9,16.2,1.6,0.653,0.338122,88.5536
1002,1002,0.998,0.002,Jomaru Brown,Eastern Kentucky,OVC,3,6.0,92.7,49.6,25.2,21.6,0.0,0.889,1.35889,103.798
1003,1003,0.996,0.004,Maros Zeliznak,Jacksonville St.,OVC,17,5.9,88.5,36.36,5.8,19.6,5.7,0.2,-0.0535097,80.7902
1004,1004,0.996,0.004,Cameron Tyson,Seattle,WAC,18,13.0,133.0,57.51,7.8,3.8,0.0,1.0,1.59806,136.744
1005,1005,0.998,0.002,Michael Meadows,Portland,WCC,18,59.7,111.0,55.97,15.2,14.0,0.2,0.884,2.21649,106.199
1006,1006,1.0,0.0,RayQuawndis Mitchell,Illinois Chicago,Horz,16,51.2,95.5,49.32,6.1,13.3,0.2,0.815,0.237991,87.6623
1007,1007,0.994,0.006,Victor Ohia Obioha,Pepperdine,WCC,20,29.6,102.4,61.62,2.0,22.6,4.3,0.48,0.986181,104.548
1008,1008,0.97,0.03,Jackson Stormo,Siena,MAAC,17,63.1,115.9,67.07,12.0,20.8,3.5,0.698,2.60164,114.966
1009,1009,0.994,0.006,Gus Okafor,Southeastern Louisiana,Slnd,25,75.3,88.2,45.06,7.0,19.1,0.9,0.663,0.362395,88.577
1010,1010,1.0,0.0,Ludovic Dufeal,Gardner Webb,BSth,26,57.9,113.8,57.11,6.2,16.9,8.7,0.643,0.773129,94.8785
1011,1011,1.0,0.0,Rob Peterson III,High Point,BSth,9,8.2,41.7,18.05,8.9,46.4,0.0,0.5,-1.40274,39.2023
1012,1012,0.994,0.006,LJ Thorpe,UNC Asheville,BSth,20,61.5,104.6,58.71,23.4,23.3,0.6,0.714,2.02914,109.037
1013,1013,0.996,0.004,Trevon Faulkner,Northern Kentucky,Horz,25,83.1,105.6,51.27,15.3,16.5,0.1,0.795,3.11869,112.309
1014,1014,0.988,0.012,Adrian Nelson,Northern Kentucky,Horz,25,71.8,124.7,65.88,4.5,16.8,2.3,0.444,2.50725,110.406
1015,1015,0.998,0.002,Braden Norris,Loyola Chicago,MVC,29,78.4,110.1,59.39,18.4,20.6,0.6,0.771,2.12852,104.822
1016,1016,0.998,0.002,Nick Honor,Clemson,ACC,24,57.9,106.1,52.16,20.7,13.3,0.2,0.739,2.1636,112.165
1017,1017,0.998,0.002,Harrison Butler,Southern Utah,BSky,19,59.0,100.5,51.99,7.4,17.2,1.0,0.75,0.940035,96.7436
1018,1018,1.0,0.0,Serrel Smith,South Florida,Amer,23,59.1,94.2,46.39,9.2,16.5,0.2,0.824,0.500697,91.3559
1019,1019,0.996,0.004,Sasha Stefanovic,Purdue,B10,25,65.0,122.6,61.68,16.1,15.0,0.7,0.842,3.51951,120.1
1020,1020,1.0,0.0,Austin Rotroff,Duquesne,A10,12,13.1,80.5,50.6,2.0,29.0,3.7,0.5,-0.294136,74.4346
1021,1021,0.992,0.008,Richard Njoku,Navy,Pat,15,47.8,116.7,64.79,4.1,19.3,3.2,0.571,1.81557,108.119
1022,1022,1.0,0.0,Jaylin Andrews,Loyola MD,Pat,17,84.1,105.6,51.67,12.1,14.8,0.4,0.704,1.58687,98.8525
1023,1023,1.0,0.0,Kenneth Jones,Loyola MD,Pat,13,38.5,106.4,56.47,16.5,21.6,0.8,0.429,0.581314,93.4633
1024,1024,1.0,0.0,Tray Maddox Jr.,Cal St. Fullerton,BW,15,86.3,106.6,57.51,13.5,14.7,0.4,0.667,2.73375,108.083
1025,1025,1.0,0.0,Christian Silva,Navy,Pat,6,3.7,145.6,81.25,8.2,14.4,0.0,0.0,0.79578,137.28
1026,1026,0.998,0.002,Malik Martin,Rhode Island,A10,25,49.3,105.2,52.2,5.3,14.4,3.5,0.711,1.07139,100.908
1027,1027,1.0,0.0,Cooper Robb,Eastern Kentucky,OVC,27,68.5,99.3,45.46,12.1,12.2,0.6,0.667,0.420515,89.6816
1028,1028,1.0,0.0,Brandon Younger,Presbyterian,BSth,20,61.7,95.4,48.48,7.6,20.9,1.7,0.731,0.211099,87.6057
1029,1029,1.0,0.0,Jaylen Sebree,Morehead St.,OVC,23,22.1,81.5,45.44,10.0,28.0,2.7,0.4,-0.303932,77.3626
1030,1030,0.974,0.026,James Akinjo,Baylor,B12,26,86.5,110.3,52.42,31.1,15.8,0.0,0.819,4.41052,122.001
1031,1031,1.0,0.0,Dravon Mangum,Radford,BSth,24,64.9,102.6,55.69,5.0,21.3,0.7,0.765,1.32497,99.315
1032,1032,0.992,0.008,Zep Jasper,Auburn,SEC,17,80.1,105.6,50.74,18.3,10.7,0.5,0.872,2.8495,110.872
1033,1033,1.0,0.0,Calvin Wishart,UC Santa Barbara,BW,28,62.7,102.7,56.94,17.4,22.0,0.7,0.714,1.18185,97.6146
1034,1034,0.998,0.002,Elijah McCadden,Georgia Southern,SB,21,69.3,94.3,55.45,14.4,27.8,0.8,0.672,0.754403,92.7496
1035,1035,1.0,0.0,Nelson Phillips,Georgia St.,SB,28,52.8,104.4,58.61,5.4,22.7,3.9,0.727,1.09969,99.3517
1036,1036,0.998,0.002,Jared Bynum,Providence,BE,17,43.1,88.8,38.24,25.0,15.7,0.2,0.676,0.341654,88.9992
1037,1037,0.994,0.006,Jake Wojcik,Fairfield,MAAC,21,63.7,109.8,57.22,14.0,15.1,0.2,0.854,2.82987,110.08
1038,1038,0.998,0.002,Souleymane Koureissi,Richmond,A10,22,24.0,91.4,56.27,4.9,24.2,4.8,0.52,0.103665,88.3707
1039,1039,1.0,0.0,Andre Gustavson,Richmond,A10,17,33.2,106.6,58.77,6.4,18.1,2.3,0.722,0.805747,98.7745
1040,1040,0.992,0.008,Matt Grace,Richmond,A10,22,28.1,131.2,63.89,13.2,7.6,2.3,0.786,1.37004,120.422
1041,1041,1.0,0.0,Sy Chatman,Illinois St.,MVC,4,4.4,74.1,34.53,9.1,6.5,2.7,0.4,-0.330639,76.3921
1042,1042,1.0,0.0,Omar Silverio,Hofstra,CAA,13,22.1,92.2,47.98,8.2,18.6,0.5,0.786,0.231436,89.506
1043,1043,1.0,0.0,Tre Wood,LIU Brooklyn,NEC,17,48.1,61.6,31.24,18.0,32.4,0.0,0.474,-1.85389,59.0058
1044,1044,1.0,0.0,Samba Diallo,Manhattan,MAAC,19,59.6,87.8,49.13,8.6,26.5,0.5,0.706,-0.119439,83.8828
1045,1045,0.968,0.032,Michael Devoe,Georgia Tech,ACC,26,85.4,105.9,58.1,18.3,18.7,0.9,0.753,3.59598,115.576
1046,1046,0.998,0.002,Diego Willis,Stephen F. Austin,WAC,19,53.4,102.8,47.67,8.9,8.8,0.0,0.795,0.773674,95.6986
1047,1047,1.0,0.0,Joey Baker,Duke,ACC,23,27.3,83.2,44.12,5.4,23.9,2.4,0.75,-0.121014,82.196
1048,1048,0.996,0.004,Blake Preston,Liberty,ASun,25,46.4,120.3,60.95,15.2,13.3,3.0,0.671,2.66376,126.616
1049,1049,0.994,0.006,Myles Dread,Penn St.,B10,23,55.2,105.7,51.65,8.4,13.3,1.5,0.75,1.72273,105.942
1050,1050,0.938,0.062,Ryan Young,Northwestern,B10,23,47.2,110.0,61.79,14.7,20.1,2.8,0.729,2.27507,119.979
1051,1051,1.0,0.0,Miller Kopp,Indiana,B10,23,78.7,94.0,50.5,7.4,14.0,0.3,0.828,1.43163,98.36
1052,1052,1.0,0.0,Luther Muhammad,Arizona St.,P12,30,60.6,108.0,54.86,9.9,17.1,0.3,0.85,1.76915,105.708
1053,1053,0.992,0.008,Pete Nance,Northwestern,B10,23,69.2,105.6,56.51,14.0,13.7,3.1,0.771,2.60869,112.397
1054,1054,0.984,0.016,Justin Ahrens,Ohio St.,B10,31,45.2,125.0,63.78,3.5,9.5,1.4,0.7,2.07977,118.421
1055,1055,0.816,0.184,Myreon Jones,Florida,SEC,25,75.0,111.4,52.5,14.6,9.3,0.5,0.773,4.32281,126.809
1056,1056,0.936,0.064,John Knight III,Southern Utah,BSky,19,83.5,112.4,59.05,28.5,19.3,2.2,0.682,3.47594,115.237
1057,1057,0.99,0.01,Jules Bernard,UCLA,P12,32,70.6,112.5,55.43,10.4,13.5,0.6,0.744,3.25577,118.461
1058,1058,0.974,0.026,Kyle Lofton,St. Bonaventure,A10,21,96.0,106.8,51.26,27.6,17.1,0.3,0.813,3.87411,114.345
1059,1059,1.0,0.0,Kenneth Nwuba,UCLA,P12,18,8.1,52.7,13.38,0.0,39.2,4.4,0.0,-0.810145,44.8892
1060,1060,1.0,0.0,Ben Harvey,Southern Illinois,MVC,25,58.0,98.7,55.15,14.2,16.0,0.6,0.787,1.50587,103.955
1061,1061,1.0,0.0,Jordan McCabe,UNLV,MWC,28,26.0,87.8,44.56,20.3,30.0,0.0,0.818,0.0918541,87.7104
1062,1062,0.998,0.002,Emmitt Matthews Jr.,Washington,P12,29,63.9,101.9,49.25,7.5,17.3,1.8,0.766,1.61711,103.484
1063,1063,1.0,0.0,Austin Fadal,Eastern Washington,BSky,3,1.0,0.0,0.0,0.0,57.2,0.0,0.0,-0.906565,-1.83023
1064,1064,1.0,0.0,Francisco Caffaro,Virginia,ACC,17,11.6,102.6,59.7,3.0,28.9,1.0,0.8,0.255926,95.9721
1065,1065,1.0,0.0,Brendan Thiele,Army,Pat,7,1.4,124.0,61.86,0.0,0.0,0.0,0.333,0.130113,101.746
1066,1066,0.996,0.004,Cameron Copeland,Austin Peay,OVC,17,37.1,110.1,58.97,4.9,13.4,1.0,0.818,0.908111,102.88
1067,1067,0.998,0.002,Carter Hendricksen,North Florida,ASun,16,61.1,101.6,51.69,11.5,13.3,0.6,0.765,2.24704,105.453
1068,1068,0.996,0.004,Dorian James,North Florida,ASun,14,43.7,106.3,61.35,12.0,23.6,3.1,0.806,1.4422,101.111
1069,1069,1.0,0.0,Trevante Anderson,Idaho,BSky,4,1.6,146.8,64.1,21.4,0.0,0.0,0.75,0.619303,129.874
1070,1070,1.0,0.0,Dan Fotu,Saint Mary's,WCC,24,59.4,104.9,53.66,4.6,12.8,1.6,0.745,1.84196,107.606
1071,1071,0.996,0.004,Matthias Tass,Saint Mary's,WCC,24,73.1,100.5,52.94,13.3,16.8,2.9,0.617,2.2123,107.052
1072,1072,1.0,0.0,Quinn Clinton,Saint Mary's,WCC,22,28.6,99.5,51.38,5.2,12.5,0.0,0.75,0.513326,97.0904
1073,1073,0.994,0.006,Dane Goodwin,Notre Dame,ACC,26,83.4,109.0,54.5,9.4,9.7,0.6,0.862,2.99155,111.109
1074,1074,1.0,0.0,Malik Jefferson,Mount St. Mary's,NEC,23,62.3,101.1,55.94,3.2,21.7,3.3,0.484,1.0471,97.373
1075,1075,1.0,0.0,Dee Barnes,Southern Utah,BSky,6,4.4,102.1,45.22,0.0,0.0,0.0,0.6,0.157554,93.4353
1076,1076,1.0,0.0,Chidozie Collin Nnamene,Morgan St.,MEAC,1,0.1,40.7,0.0,0.0,80.9,0.0,0.0,-0.154388,40.7635
1077,1077,1.0,0.0,Kris Wooten,Elon,CAA,10,29.9,101.5,53.85,6.6,14.4,0.0,0.0,0.36336,90.1262
1078,1078,1.0,0.0,Bryce Washington,Penn,Ivy,8,7.8,73.4,41.94,4.6,23.7,0.0,0.0,-0.351006,75.3505
1079,1079,1.0,0.0,Anthony Crump,Northern Illinois,MAC,17,50.1,64.9,37.16,7.6,31.4,0.6,0.348,-1.77594,62.3718
1080,1080,1.0,0.0,Kyle Colvin,Cal Poly,BW,24,42.5,88.3,46.95,6.1,17.3,0.2,0.75,0.0586315,86.1798
1081,1081,0.994,0.006,Elijah Harkless,Oklahoma,B12,23,60.2,93.7,50.08,14.5,22.4,1.0,0.635,1.2147,97.6725
1082,1082,1.0,0.0,Darius Brown II,Cal St. Northridge,BW,21,86.0,117.6,56.88,29.4,14.1,0.3,0.722,3.22834,112.29
1083,1083,1.0,0.0,Brendan Harrick,Cal St. Northridge,BW,21,41.3,80.3,41.41,6.3,17.9,1.0,0.909,-0.553219,75.6055
1084,1084,0.99,0.01,James Manns,Wright St.,Horz,15,9.4,112.9,58.29,7.7,15.8,0.0,0.769,0.570141,112.339
1085,1085,1.0,0.0,Jeameril Wilson,Lehigh,Pat,13,55.4,98.8,51.7,14.5,16.8,0.3,0.577,0.551029,91.4773
1086,1086,1.0,0.0,Tyrone Perry,Lafayette,Pat,14,71.3,106.7,52.19,13.4,12.6,0.4,0.8,1.0101,94.8053
1087,1087,0.998,0.002,Sean Good,Lafayette,Pat,14,25.3,111.1,59.77,9.7,23.5,8.0,0.6,0.319402,93.7569
1088,1088,0.896,0.104,DeAndre Williams,Memphis,Amer,21,48.9,104.3,57.23,26.4,24.8,2.4,0.692,2.7724,115.873
1089,1089,1.0,0.0,Nic Lynch,Lehigh,Pat,15,59.8,102.6,51.94,6.5,10.0,2.9,0.719,1.48827,103.176
1090,1090,1.0,0.0,Blake Harris,North Carolina A&T,MEAC,16,43.0,82.7,49.1,16.3,27.5,0.0,0.846,0.262157,88.9586
1091,1091,0.996,0.004,Trey McGowens,Nebraska,B10,26,71.3,90.1,49.58,16.8,20.1,0.6,0.663,1.353,98.9289
1092,1092,0.998,0.002,LaDarius Marshall,Alcorn St.,SWAC,22,30.9,112.3,59.26,4.7,16.0,5.3,0.568,0.7791,101.814
1093,1093,0.998,0.002,Kristian Sjolund,Portland,WCC,20,34.2,139.1,73.07,5.0,8.6,2.6,0.8,2.03829,126.161
1094,1094,1.0,0.0,Kameron Gibson,Vermont,AE,16,30.0,104.5,54.62,8.0,12.9,0.4,0.75,0.716023,96.0588
1095,1095,0.954,0.046,Jake Stephens,VMI,SC,22,83.3,111.0,58.49,19.4,16.7,5.4,0.817,3.65726,116.903
1096,1096,1.0,0.0,Ryan Larson,Wofford,SC,21,62.5,106.9,57.32,21.5,24.8,0.6,0.643,1.15162,97.9338
1097,1097,0.982,0.018,Isaiah Bigelow,Wofford,SC,33,36.0,101.9,53.0,5.1,14.7,3.6,0.8,0.567841,96.6957
1098,1098,0.964,0.036,Messiah Jones,Wofford,SC,18,44.3,118.9,64.48,12.1,16.9,3.1,0.568,2.75685,121.99
1099,1099,0.998,0.002,Kris Monroe,North Carolina Central,MEAC,14,7.8,79.3,30.27,6.6,4.4,3.8,0.333,-0.153525,77.6597
1100,1100,1.0,0.0,SK Shittu,Central Arkansas,Slnd,20,39.0,93.4,58.93,3.8,30.6,2.2,0.813,0.12582,87.2758
1101,1101,0.998,0.002,Jericole Hellems,North Carolina St.,ACC,25,78.5,105.6,54.7,10.5,17.0,0.8,0.771,2.79851,110.938
1102,1102,0.986,0.014,Tyrese Martin,Connecticut,BE,22,71.7,109.3,51.13,6.6,14.3,2.0,0.672,3.09399,115.011
1103,1103,1.0,0.0,Jamal Hartwell II,George Mason,A10,21,44.5,109.2,53.82,11.2,12.9,0.0,0.889,1.01076,101.617
1104,1104,0.98,0.02,Jordan Miller,Miami FL,ACC,19,73.4,109.6,54.71,13.3,13.9,1.2,0.776,3.49798,116.41
1105,1105,0.982,0.018,Berrick JeanLouis,Iona,MAAC,18,78.1,102.1,55.62,10.6,23.0,4.7,0.567,0.797179,92.6138
1106,1106,0.998,0.002,Elijah McNamara,Miami OH,MAC,22,27.2,91.8,44.21,9.2,14.4,6.8,0.563,0.298721,93.159
1107,1107,0.996,0.004,Mekhi Lairy,Miami OH,MAC,22,76.7,107.6,57.26,21.2,20.0,0.5,0.8,2.62913,109.944
1108,1108,1.0,0.0,Myja White,Miami OH,MAC,21,56.4,114.9,57.9,6.5,12.2,0.0,0.882,1.20454,99.9514
1109,1109,0.996,0.004,Anthony Roberts,Stony Brook,AE,3,7.6,76.6,32.13,22.7,22.2,2.0,0.75,-0.176112,82.8767
1110,1110,1.0,0.0,DeAndre Gholston,Milwaukee,Horz,22,81.0,104.4,55.93,8.6,13.7,1.1,0.802,2.37743,106.402
1111,1111,0.996,0.004,Malik Miller,Morgan St.,MEAC,19,71.6,102.8,55.86,14.8,23.5,3.2,0.712,1.58357,101.195
1112,1112,0.98,0.02,Tajion Jones,UNC Asheville,BSth,20,82.5,122.9,62.99,5.0,9.1,1.8,0.651,3.5829,116.562
1113,1113,1.0,0.0,Brock Cunningham,Texas,B12,25,34.8,98.4,39.01,9.1,20.5,1.9,0.556,0.16665,88.4543
1114,1114,1.0,0.0,Aleks Novakovich,Delaware,CAA,9,24.8,83.3,47.66,1.4,27.0,0.0,0.6,-0.605619,73.9553
1115,1115,1.0,0.0,Raymond Bethea Jr.,Hampton,BSth,19,31.6,97.0,49.91,6.5,15.4,2.1,0.706,0.055538,86.2181
1116,1116,0.998,0.002,Spencer Rodgers,Kennesaw St.,ASun,21,84.0,96.3,52.36,14.7,16.7,0.5,0.776,1.79139,100.612
1117,1117,0.99,0.01,Au'Diese Toney,Arkansas,SEC,16,63.6,106.6,55.47,13.4,18.2,0.4,0.667,3.20572,111.651
1118,1118,0.998,0.002,Ezekiel Richards,Northern Arizona,BSky,9,5.5,85.9,51.16,0.0,27.9,2.4,0.7,0.0693135,89.5361
1119,1119,0.998,0.002,Trey Wertz,Notre Dame,ACC,21,53.5,98.7,54.61,16.1,20.5,0.4,0.821,1.47538,101.315
1120,1120,0.996,0.004,Keshawn Justice,Santa Clara,WCC,14,61.8,92.3,46.92,9.5,12.0,0.9,0.71,0.677957,91.0755
1121,1121,1.0,0.0,Jake Wolfe,Morehead St.,OVC,23,64.5,94.5,51.86,8.3,19.4,0.6,0.741,0.0686732,86.0224
1122,1122,1.0,0.0,Vado Morse,James Madison,CAA,16,69.1,104.2,54.97,16.8,15.9,0.3,0.726,2.37732,108.579
1123,1123,1.0,0.0,Trajan Wesley,Louisiana Lafayette,SB,19,33.7,109.6,61.69,27.8,26.7,0.0,0.781,1.22032,100.874
1124,1124,0.992,0.008,Uros Plavsic,Tennessee,SEC,16,6.7,108.5,45.57,13.0,9.5,4.9,0.4,0.366303,108.714
1125,1125,1.0,0.0,Lamar Norman Jr.,Western Michigan,MAC,4,13.1,84.9,36.46,5.9,8.8,0.0,1.0,-0.74519,76.1174
1126,1126,1.0,0.0,Micheal Anumba,Winthrop,BSth,25,60.6,107.5,56.08,7.0,21.6,0.6,0.796,0.809613,94.8811
1127,1127,1.0,0.0,Rashad Williams,Saint Louis,A10,28,64.2,96.3,49.57,6.7,12.9,0.0,0.787,1.1847,97.6942
1128,1128,1.0,0.0,Dawson Carper,Missouri St.,MVC,3,1.5,41.3,16.95,11.8,27.5,7.9,0.5,-0.693186,39.156
1129,1129,1.0,0.0,Mate Colina,Hawaii,BW,19,45.4,112.0,58.7,6.5,17.9,2.3,0.792,1.34773,106.634
1130,1130,0.964,0.036,Theo Akwuba,Louisiana Lafayette,SB,24,69.4,117.6,65.69,7.1,21.0,8.7,0.701,2.86307,114.986
1131,1131,0.998,0.002,Elijah Weaver,Dayton,A10,18,39.5,100.3,54.57,21.9,24.2,0.3,0.72,1.23455,102.061
1132,1132,0.988,0.012,Walter Ellis,Grand Canyon,WAC,12,69.4,103.3,58.23,11.1,19.1,2.2,0.842,0.840316,93.9825
1133,1133,0.998,0.002,Andrew Funk,Bucknell,Pat,12,84.6,97.5,54.02,8.5,16.8,0.2,0.854,0.999046,93.7654
1134,1134,0.998,0.002,Jack Hemphill,St. Francis NY,NEC,18,39.2,100.0,52.46,15.1,20.6,2.3,0.75,0.955414,102.83
1135,1135,0.998,0.002,Fletcher Tynen,Boston University,Pat,16,36.3,105.2,54.27,5.3,15.9,1.2,0.611,0.710928,97.8154
1136,1136,0.998,0.002,Tucker Richardson,Colgate,Pat,16,76.0,114.7,57.06,21.9,16.2,1.0,0.722,2.66404,110.521
1137,1137,1.0,0.0,Kahliel Spear,Robert Morris,Horz,18,56.8,113.6,59.02,10.2,14.7,6.0,0.646,1.92313,109.649
1138,1138,1.0,0.0,Zach Light,Colgate,Pat,6,3.6,85.0,38.89,0.0,12.1,0.0,0.0,-0.0506362,81.449
1139,1139,0.992,0.008,Marlon Hargis,St. Francis PA,NEC,15,33.0,125.5,63.23,4.4,9.9,1.9,0.842,1.95159,114.429
1140,1140,0.984,0.016,Ben Vander Plas,Ohio,MAC,24,84.8,106.7,55.94,18.5,19.3,1.8,0.776,2.51431,106.619
1141,1141,0.996,0.004,LaQuill Hardnett,Buffalo,MAC,24,51.8,122.2,68.41,9.2,21.5,2.8,0.678,1.79636,110.263
1142,1142,0.998,0.002,Szymon Wojcik,UMBC,AE,8,7.0,76.1,36.87,3.0,28.0,4.2,0.833,-0.421705,67.8945
1143,1143,1.0,0.0,Damien Daniels,Abilene Christian,Slnd,25,61.0,93.1,46.07,18.0,20.2,0.2,0.643,0.0245267,85.5454
1144,1144,1.0,0.0,Joe Pleasant,Wichita St.,Amer,25,60.3,99.2,49.84,9.8,15.8,1.4,0.594,1.17092,99.2458
1145,1145,0.854,0.146,Yor Anei,DePaul,BE,11,27.9,112.0,63.59,3.0,20.0,14.4,0.75,1.86022,116.292
1146,1146,0.994,0.006,Joe Reece,Bowling Green,MAC,21,59.9,94.3,50.24,7.4,19.6,2.6,0.549,0.76793,94.0767
1147,1147,0.99,0.01,Jason Wade,Old Dominion,CUSA,20,42.9,110.7,59.29,15.5,18.9,1.7,0.652,2.63858,112.792
1148,1148,0.974,0.026,Kalu Ezikpe,Old Dominion,CUSA,22,53.7,104.9,59.62,5.8,20.2,8.3,0.678,1.98734,111.932
1149,1149,0.998,0.002,Nicolas Timberlake,Towson,CAA,18,73.4,98.5,48.3,5.7,15.0,0.9,0.815,1.53456,100.313
1150,1150,0.992,0.008,Javon Pickett,Missouri,SEC,26,43.8,104.1,55.51,9.8,17.5,0.9,0.867,1.30897,106.782
1151,1151,0.998,0.002,Isaac Suffren,Howard,MEAC,4,13.8,116.3,77.82,0.0,17.6,0.0,0.333,0.354632,103.838
1152,1152,1.0,0.0,Jamir Moore,Charleston Southern,BSth,20,49.1,91.9,46.77,5.4,14.7,1.9,0.444,-0.264814,81.3676
1153,1153,0.888,0.112,Tyger Campbell,UCLA,P12,32,81.3,107.5,49.92,30.2,16.4,0.1,0.772,3.43767,115.726
1154,1154,1.0,0.0,Sadarius Bowser,Charleston Southern,BSth,18,37.3,112.4,61.55,2.1,18.5,2.8,0.636,0.650998,96.5904
1155,1155,1.0,0.0,Connor Arnold,VMI,SC,7,4.3,39.5,27.27,8.9,43.3,0.0,0.0,-0.838209,40.7581
1156,1156,0.99,0.01,Dominick Welch,St. Bonaventure,A10,21,85.6,111.0,57.49,11.9,18.1,1.1,0.72,2.9532,110.113
1157,1157,0.996,0.004,John Walker III,Texas Southern,SWAC,23,60.3,110.7,59.63,9.3,18.0,4.7,0.63,2.19154,109.356
1158,1158,0.962,0.038,Noah Gurley,Alabama,SEC,22,73.6,109.7,58.56,17.1,16.8,4.0,0.689,3.27373,117.32
1159,1159,1.0,0.0,Elijah McCullough,Sacramento St.,BSky,17,17.3,117.9,60.54,5.8,9.4,0.0,0.5,0.355211,99.2606
1160,1160,0.996,0.004,Trey Wood,Portland St.,BSky,9,4.1,112.0,50.63,0.0,12.2,0.0,0.75,0.165547,99.5682
1161,1161,0.996,0.004,Sherwyn Devonish,Morgan St.,MEAC,19,73.4,106.4,53.72,22.1,23.6,1.0,0.854,1.22548,97.2811
1162,1162,1.0,0.0,Shareef O'Neal,LSU,SEC,10,12.4,98.9,44.3,0.0,12.4,3.9,0.5,0.314085,91.4982
1163,1163,0.992,0.008,Isaiah Burke,Morgan St.,MEAC,3,3.0,94.1,43.8,26.4,24.9,0.0,1.0,0.210904,93.1835
